begin|[r]พิมพ์เลข 1 เพื่อเริ่มเกม[/]|prologue|
prologue|พิมพ์เลข 1 เพื่อดำเนินเรื่อง|1-1|
1-1|แตะที่โบราณวัตถุ|2-1(1)|
1-1|สังเกตอย่างละเอียดอย่างเดียว|2-2|
2-1(1)|ยอมรับคำทำนาย|3-1|
2-1(1)|ปฏิเสธคำทำนาย|3-2(1)|
2-1(2)|ยอมรับคำทำนาย|3-1|
2-1(2)|ปฏิเสธคำทำนาย|3-2(1)|
2-2|เผชิญหน้ากับ วิญญาณ|2-1(2)|
2-2|ต่อรองกับวิญญาณ|3-2(2)|
3-1|ดื่มน้ำจากทะเลสาบ|4-1|
3-1|เดินสำรวจรอบบริเวณทะเลสาบ|4-2|
3-2(1)|เดินสำรวจลึกเข้าไปในป่า|4-2|
3-2(1)|ถอย และทบทวนว่าจะเอาอย่างไรต่อ|4-3|
3-2(2)|เดินสำรวจลึกเข้าไปในป่า|4-2|
3-2(2)|ถอย และทบทวนว่าจะเอาอย่างไรต่อ|4-3|
4-1|นั่งทำความเข้าใจเกี่ยวกับพลังที่เพิ่มขึ้นมา|5-1|
4-1|เดินสำรวจบริเวณรอบทะเลสาบ|4-1|
4-2|สำรวจเมืองที่สาบสูญ|5-2|
4-2|ออกจากเมือง|6-4|
4-3|หลบหนี|4-2|
4-3|ต่อสู้กับมัน|5-3|
5-1|ไม่ใช้|6-1|
5-1|ใข้|6-2|
5-2|ทำลาย|6-2|
5-2|บูชา|6-3|
5-3|เดินหาเมือง|4-2|
5-3|เดินเข้าไปในป่าต่อ|6-4|
6-1|ตามนกไป|7-1(1)|
6-1|เดินตามใจอยาก|7-2|
6-2|สำรวจ|7-1(2)|
6-2|ออกจากวัด|7-2|
6-3|สำรวจต่อ|7-2|
6-3|ออกจากที่นี่|6-4|
6-4|เจรจา|7-3|18-3wizard_event(1)
6-4|ต่อสู้|ending_you_die
7-1(1)|ดูดซับมันเข้ามา|8-1(1)|
7-1(1)|สำรวจต่อ|8-2|
7-1(2)|ดูดซับมันเข้ามา|8-1(1)|
7-1(2)|สำรวจต่อ|8-2|
7-2|เดินไปข้างหน้า|8-2|
7-2|เดินไปตามสัญชาติญาณ|8-3|
7-3|เดินสำรวจต่อ|8-2|
7-3|หาที่พักสักแป๊บ|8-3|
8-1(1)|เดินตามนก|9-1(1)|
8-1(1)|เดินไปตามทาง|10-2|
8-1(2)|เดินตามนก|9-1(1)|
8-1(2)|เดินไปตามทาง|10-2|
8-2|ต่อสู้|8-1(2)|
8-2|หลบหนี|9-2|
8-3|ไม่ซื้อ|9-3|
